Australian Bureau of Statistics

"2016 Census - Cultural Diversity"
"SSC (UR) by LANP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"LANP - 1 Digit Level","Northern European Languages","Southern European Languages","Eastern European Languages","Southwest and Central Asian Languages","Southern Asian Languages","Southeast Asian Languages","Eastern Asian Languages","Australian Indigenous Languages","Other Languages","Supplementary codes","Not stated","Total",
"Belrose",7144,231,107,349,71,35,389,0,17,18,419,8775,
"Bemboka",523,0,0,0,0,4,6,0,0,0,44,571,
"Ben Bullen",82,0,0,0,0,0,0,0,0,0,23,103,
"Ben Lomond (NSW)",132,0,0,0,0,0,0,0,0,0,19,147,
"Benandarah",120,5,4,0,0,0,0,0,0,0,33,168,
"Bendalong",77,0,0,0,0,0,0,0,0,0,14,90,
"Bendemeer",430,0,3,0,0,0,0,4,0,0,53,495,
"Bendick Murrell",138,0,0,0,0,0,0,0,0,0,19,159,
"Bendolba",194,0,0,0,0,0,0,0,0,0,11,205,
"Bendoura",56,0,0,0,0,0,0,0,0,0,9,66,
"Benerembah",106,6,0,0,0,0,0,0,0,0,25,134,
"Bengalla",15,0,0,0,0,0,0,0,0,0,6,25,
"Bennetts Green",9,0,0,0,0,0,0,0,0,0,0,10,
"Benolong",48,0,0,0,0,0,0,0,0,0,0,48,
"Bensville",2399,36,10,10,0,4,7,0,3,0,64,2544,
"Bentley (NSW)",177,0,0,0,0,0,0,0,0,0,20,202,
"Berala",1892,196,373,1232,699,850,3198,0,236,43,327,9050,
"Berambing",90,0,0,0,0,0,0,0,0,0,7,104,
"Beresfield",2848,4,16,4,19,17,103,3,7,6,161,3182,
"Bergalia",159,0,0,0,0,0,0,0,0,0,10,169,
"Berkeley",5694,382,530,266,17,176,67,0,46,20,411,7608,
"Berkeley Vale",7782,85,34,10,18,40,42,0,26,13,310,8353,
"Berkshire Park",885,104,11,25,8,0,24,0,0,4,1070,2138,
"Berlang",0,0,0,0,0,0,0,0,0,0,0,0,
"Bermagui",1395,15,12,0,0,9,4,0,0,0,99,1536,
"Berowra",4087,71,62,82,87,71,121,0,10,15,116,4722,
"Berowra Creek",18,0,0,0,0,0,0,0,0,0,0,16,
"Berowra Heights",4792,74,53,28,19,63,103,0,18,9,111,5262,
"Berowra Waters",51,0,0,0,0,0,0,0,0,0,62,120,
"Berrambool",422,3,0,0,0,0,0,0,0,0,29,458,
"Berrara",282,0,0,0,0,0,0,0,0,0,12,300,
"Berremangra",75,0,0,0,0,0,0,0,0,0,11,84,
"Berrico",24,0,0,0,0,0,0,0,0,0,9,33,
"Berridale",1097,10,7,0,0,0,9,0,0,0,72,1193,
"Berrigal",26,0,0,0,0,0,0,0,0,0,6,33,
"Berrigan",1070,8,0,0,0,3,0,0,4,0,172,1263,
"Berrilee",200,3,9,0,0,12,0,0,0,0,5,227,
"Berrima",571,6,8,3,0,0,9,0,0,0,62,672,
"Berringer Lake",26,0,0,0,0,0,0,0,0,0,3,28,
"Berry",2478,10,3,0,0,13,7,4,0,0,145,2666,
"Berry Jerry",60,0,0,0,0,0,0,0,0,0,14,77,
"Berry Mountain",22,0,0,0,0,0,0,0,0,0,8,23,
"Berry Park",109,0,0,0,0,0,0,0,0,0,20,127,
"Berthong",40,0,0,0,0,0,0,0,0,0,4,45,
"Beryl",113,0,0,0,0,0,0,0,0,0,18,130,
"Bethungra",156,0,0,0,0,0,0,0,0,0,8,162,
"Bevendale",35,0,0,0,0,0,0,0,0,0,4,43,
"Beverley Park",1229,502,127,136,52,63,162,0,11,12,123,2397,
"Beverly Hills",3807,1221,228,604,299,556,2833,3,130,44,432,10154,
"Bewong",64,0,0,0,0,0,0,0,0,0,10,78,
"Bexhill",455,4,0,0,0,0,0,0,0,0,29,497,
"Bexley",7335,2578,1658,2418,885,618,2464,0,197,59,1512,19729,
"Bexley North",1741,901,105,263,68,172,601,0,43,12,194,4093,
"Biala",56,0,0,0,0,0,0,0,0,0,0,57,
"Bibbenluke",78,0,0,0,0,0,0,0,0,0,9,86,
"Biddon",91,0,0,0,0,0,0,0,0,0,5,97,
"Bidgeemia",30,0,0,0,0,0,0,0,0,0,0,30,
"Bidwill (NSW)",2855,66,43,185,70,114,18,0,381,8,547,4280,
"Bielsdown Hills",99,0,0,0,0,0,0,0,0,0,7,104,
"Big Hill (NSW)",47,0,0,3,0,0,0,0,0,0,0,48,
"Big Jacks Creek",48,0,0,0,0,0,0,0,0,0,11,53,
"Big Ridge",11,0,0,0,0,0,0,0,0,0,0,11,
"Big Springs",108,0,0,0,0,0,0,0,0,0,12,119,
"Bigga",200,0,0,0,0,0,0,0,0,0,40,243,
"Bilambil",390,7,0,0,0,0,0,0,0,0,20,418,
"Bilambil Heights",3046,28,10,3,3,6,22,0,9,8,218,3365,
"Bilbul",454,36,0,4,11,0,0,0,0,0,52,556,
"Bilgola Beach",232,0,0,0,0,0,8,0,0,0,5,244,
"Bilgola Plateau",3280,77,23,5,0,9,17,0,8,8,86,3516,
"Billeroy",41,0,0,0,0,0,0,0,0,0,0,42,
"Billilingra",10,0,0,0,0,0,0,0,0,0,0,9,
"Billimari",129,0,0,0,0,0,0,0,0,0,24,152,
"Billinudgel",179,8,0,0,0,0,0,0,3,0,25,215,
"Billys Creek",52,0,0,0,0,0,5,0,0,0,4,56,
"Billywillinga",179,0,3,0,0,0,0,0,0,0,9,194,
"Bilpin",580,14,3,0,0,0,0,0,0,0,60,666,
"Bimberi",0,0,0,0,0,0,0,0,0,0,0,0,
